,imgs,masks
0,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/img/case5015_01.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/mask_instruments/case5015_01.png
1,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/img/case5015_02.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/mask_instruments/case5015_02.png
2,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/img/case5015_03.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/mask_instruments/case5015_03.png
3,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/img/case5015_04.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/mask_instruments/case5015_04.png
4,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/img/case5015_05.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/mask_instruments/case5015_05.png
5,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/img/case5015_06.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/mask_instruments/case5015_06.png
6,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/img/case5015_07.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/mask_instruments/case5015_07.png
7,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/img/case5015_08.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/mask_instruments/case5015_08.png
8,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/img/case5015_09.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/mask_instruments/case5015_09.png
9,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/img/case5015_10.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/mask_instruments/case5015_10.png
10,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/img/case5015_11.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/mask_instruments/case5015_11.png
11,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/img/case5015_12.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/mask_instruments/case5015_12.png
12,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/img/case5015_13.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/mask_instruments/case5015_13.png
13,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/img/case5015_14.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/mask_instruments/case5015_14.png
14,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/img/case5015_15.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/mask_instruments/case5015_15.png
15,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/img/case5015_16.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/mask_instruments/case5015_16.png
16,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/img/case5015_17.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/mask_instruments/case5015_17.png
17,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/img/case5015_18.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/mask_instruments/case5015_18.png
18,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/img/case5015_19.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/mask_instruments/case5015_19.png
19,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/img/case5015_20.png,semantic_segmentation_images_annotations/Images_and_Supervisely_Annotations/case_5015/mask_instruments/case5015_20.png
